,light,fear,Date(Local),Time(sec),Time,Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Speed(m/s)
167,16.33,0,2019-12-29 21:37:37.00,779.4456555843352,21:37:37.00,20.763254999999997,-103.36456,6.000906205260657,1640.411647310047,1.05544114112854
168,16.21,0,2019-12-29 21:37:38.00,780.4456568956375,21:37:38.00,20.763254,-103.364568,6.000906205260657,1640.410274456957,1.05544114112854
169,16.21,0,2019-12-29 21:37:44.00,786.4456632137299,21:37:44.00,20.763279999999998,-103.364613,6.000906205260657,1640.647492500274,0.7548623085021973
170,16.21,0,2019-12-29 21:38:12.00,814.4452252388,21:38:12.00,20.763277,-103.364626,6.000906205260657,1640.60357293979,0.5159152150154114
171,16.21,0,2019-12-29 21:39:27.00,814.450227022171,21:39:27.00,20.763425,-103.364868,6.000906205260657,1639.7922929931228,1.442436695098877
172,16.21,0,2019-12-29 21:39:28.00,815.4502283334732,21:39:28.00,20.763431,-103.36488100000001,6.000906205260657,1639.635106603389,1.442436695098877
173,16.21,0,2019-12-29 21:39:32.00,819.4502322673798,21:39:32.00,20.763472,-103.364928,6.000906205260657,1639.067139826349,1.711051821708679
174,16.21,1,2019-12-29 21:39:35.00,822.4502363204956,21:39:35.00,20.763514,-103.364976,6.000906205260657,1638.53668005868,1.4551942348480218
175,16.21,1,2019-12-29 21:40:02.00,849.4502656459807,21:40:02.00,20.763522000000002,-103.36502800000001,6.000906205260657,1637.986687051914,0.8066831827163696
176,16.21,1,2019-12-29 21:40:12.00,849.4068992137909,21:40:12.00,20.763522000000002,-103.365139,6.000906205260657,1637.524008446663,1.377667546272278
177,16.21,1,2019-12-29 21:40:13.00,850.4068976640701,21:40:13.00,20.763523,-103.365148,6.000906205260657,1637.511049144837,1.280465841293335
178,16.21,1,2019-12-29 21:40:19.00,856.4068921804428,21:40:19.00,20.763545999999998,-103.36519100000001,8.001208273680877,1637.511600357397,0.6318872570991516
179,16.24,0,2019-12-29 21:40:36.00,873.406893491745,21:40:36.00,20.763592000000003,-103.365217,8.001208273680877,1637.750184496457,1.0893177986145022
180,16.24,0,2019-12-29 21:40:47.00,884.4069006443024,21:40:47.00,20.763613,-103.365259,8.001208273680877,1638.041835773584,0.04515590146183968
181,16.24,0,2019-12-29 21:41:12.00,884.4695217609406,21:41:12.00,20.763633,-103.365434,8.001208273680877,1636.291232860472,1.052307963371277
182,16.24,0,2019-12-29 21:41:13.00,885.4695227146149,21:41:13.00,20.763629,-103.365449,8.001208273680877,1636.192788676062,0.9422980546951294
183,16.24,0,2019-12-29 21:41:18.00,890.4695274829865,21:41:18.00,20.763648,-103.36550600000001,8.001208273680877,1635.596930259529,1.182604312896729
184,16.24,0,2019-12-29 21:41:23.00,895.469532251358,21:41:23.00,20.763682,-103.36554699999999,8.001208273680877,1634.9828421610518,0.9318253397941588
185,16.24,0,2019-12-29 21:41:27.00,899.4695360660553,21:41:27.00,20.763706,-103.365595,8.001208273680877,1634.5344903713901,1.020140051841736
186,16.24,0,2019-12-29 21:41:29.00,901.4695379734039,21:41:29.00,20.763747,-103.365628,8.001208273680877,1634.332670533902,1.1729398965835571
187,16.24,0,2019-12-29 21:41:32.00,904.4695415496826,21:41:32.00,20.763794,-103.365649,8.001208273680877,1634.32200882181,0.9490103721618652
188,16.24,0,2019-12-29 21:41:35.00,907.4695435762404,21:41:35.00,20.76385,-103.36564399999999,16.00241654736175,1634.490687735293,1.15540075302124
189,16.24,1,2019-12-29 21:41:38.00,910.4695466756821,21:41:38.00,20.763901,-103.365664,16.00241654736175,1634.706322478659,0.9923011660575868
190,16.22,1,2019-12-29 21:41:42.00,914.4695514440536,21:41:42.00,20.763967,-103.365679,16.00241654736175,1634.7376334347532,1.019469261169434
191,16.22,0,2019-12-29 21:41:46.00,918.4695556163788,21:41:46.00,20.764015,-103.365677,16.00241654736175,1634.737636565849,0.059156950563192374
192,16.22,0,2019-12-29 21:41:52.00,924.4695612192154,21:41:52.00,20.764008,-103.365634,6.000906205260657,1634.737636566162,1.282595872879028
193,16.22,0,2019-12-29 21:41:57.00,924.4796530008316,21:41:57.00,20.764012,-103.365616,6.000906205260657,1634.737636566162,0.710500955581665
194,16.22,0,2019-12-29 21:41:58.00,925.4796540737152,21:41:58.00,20.764017000000003,-103.36561,6.000906205260657,1634.737636566162,0.710500955581665
195,16.19,0,2019-12-29 21:42:07.00,934.4796631336212,21:42:07.00,20.764067999999998,-103.365623,8.001208273680877,1634.737636566162,0.1663282662630081
196,16.19,0,2019-12-29 21:42:13.00,940.479669213295,21:42:13.00,20.764110000000002,-103.36560300000001,16.00241654736175,1634.737636566162,0.01613396033644676
197,16.19,0,2019-12-29 21:42:17.00,944.4796736240387,21:42:17.00,20.764169,-103.365595,16.00241654736175,1634.737636566162,0.2415675222873688
198,16.19,1,2019-12-29 21:42:21.00,948.4796776771544,21:42:21.00,20.764232999999997,-103.365593,16.00241654736175,1634.737636566162,0.7105970978736877
199,16.19,1,2019-12-29 21:42:24.00,951.4796801805496,21:42:24.00,20.764289,-103.365596,16.00241654736175,1634.737636566162,0.02381323091685772
200,16.19,1,2019-12-29 21:42:28.00,955.4796841144562,21:42:28.00,20.764335,-103.365595,16.00241654736175,1634.737636566162,0.1503449082374573
201,16.19,1,2019-12-29 21:42:32.00,959.479689002037,21:42:32.00,20.764357999999998,-103.36558199999999,16.00241654736175,1634.737636566162,0.1071314588189125
202,16.19,0,2019-12-29 21:43:22.00,959.4973959922792,21:43:22.00,20.764822,-103.365362,8.001208273680877,1636.249650249187,0.7783486843109131
203,16.17,1,2019-12-29 21:43:23.00,960.4973959922792,21:43:23.00,20.764833,-103.36535699999999,8.001208273680877,1636.215656782121,0.7783486843109131
204,16.17,1,2019-12-29 21:43:27.00,964.4974008798599,21:43:27.00,20.764884,-103.365346,8.001208273680877,1635.9206049736529,0.9702398777008056
205,16.17,0,2019-12-29 21:43:31.00,968.4974042177199,21:43:31.00,20.764932,-103.36533399999999,8.001208273680877,1635.469361039761,0.8057160377502441
206,16.17,0,2019-12-29 21:43:35.00,972.497407913208,21:43:35.00,20.764978,-103.365308,8.001208273680877,1635.1010955052109,0.7384428977966309
207,16.17,0,2019-12-29 21:43:39.00,976.4974126815796,21:43:39.00,20.76503,-103.36529499999999,8.001208273680877,1634.7386490473098,0.8048250079154968
208,16.17,0,2019-12-29 21:43:44.00,981.4974164962767,21:43:44.00,20.765076999999998,-103.365289,8.001208273680877,1634.7376365762868,0.9097576737403871
209,16.17,1,2019-12-29 21:43:48.00,985.497421503067,21:43:48.00,20.765117,-103.365267,8.001208273680877,1634.7677391052262,1.011483669281006
210,16.17,1,2019-12-29 21:43:53.00,990.4974267482758,21:43:53.00,20.765147,-103.365229,8.001208273680877,1635.211235478027,0.635477602481842
211,16.17,1,2019-12-29 21:43:57.00,994.4974298477173,21:43:57.00,20.765164000000002,-103.36519100000001,8.001208273680877,1635.6605600979278,0.4041831195354462
212,16.17,0,2019-12-29 21:44:12.00,994.5951634645462,21:44:12.00,20.76531,-103.365154,6.000906205260657,1636.271870449689,1.759070158004761
213,16.17,0,2019-12-29 21:44:13.00,995.5951652526857,21:44:13.00,20.765315,-103.365144,6.000906205260657,1636.216120989671,1.0683462619781492
214,16.19,0,2019-12-29 21:44:17.00,999.5951694250107,21:44:17.00,20.765371,-103.36510799999999,6.000906205260657,1636.573379568413,2.41155743598938
215,16.19,0,2019-12-29 21:44:20.00,1002.595172047615,21:44:20.00,20.765417000000003,-103.365071,6.000906205260657,1636.9616944771328,1.623828411102295
216,16.19,0,2019-12-29 21:44:23.00,1005.595175385475,21:44:23.00,20.76546,-103.365045,6.000906205260657,1637.41814065337,1.3014799356460571
217,16.19,1,2019-12-29 21:44:27.00,1009.595179796219,21:44:27.00,20.765519,-103.365013,6.000906205260657,1637.74822378161,2.471510887145996
218,16.19,1,2019-12-29 21:44:31.00,1013.595183730125,21:44:31.00,20.76557,-103.364997,6.000906205260657,1638.0416630521302,1.8504430055618293
219,16.19,1,2019-12-29 21:44:38.00,1020.5951914787289,21:44:38.00,20.765619,-103.36500500000001,6.000906205260657,1637.953785155012,0.9136313796043396
220,16.19,1,2019-12-29 21:44:46.00,1028.595200300217,21:44:46.00,20.765636999999998,-103.364961,8.001208273680877,1638.0418357523802,0.4126555323600769
221,16.19,1,2019-12-29 21:44:47.00,1029.59520149231,21:44:47.00,20.765639999999998,-103.36495500000001,8.001208273680877,1638.0418357816588,0.4026003479957581
222,16.19,0,2019-12-29 21:46:42.00,1029.562873840332,21:46:42.00,20.766161,-103.36489300000001,8.001208273680877,1636.138621787034,0.5794355869293213
223,16.25,0,2019-12-29 21:46:43.00,1030.562873482704,21:46:43.00,20.766166000000002,-103.364896,8.001208273680877,1636.026685283562,0.5794355869293213
224,16.25,0,2019-12-29 21:46:47.00,1034.562870502472,21:46:47.00,20.766213,-103.364919,8.001208273680877,1635.707628959804,0.6006256937980652
225,16.25,1,2019-12-29 21:46:51.00,1038.562868714333,21:46:51.00,20.766258999999998,-103.364924,16.00241654736175,1635.550917732882,0.3130535781383514
226,16.25,1,2019-12-29 21:46:54.00,1041.562867164612,21:46:54.00,20.766306,-103.364936,16.00241654736175,1635.598269549477,0.6131724119186401
227,16.23,1,2019-12-29 21:46:57.00,1044.562865614891,21:46:57.00,20.766345,-103.36496700000001,16.00241654736175,1635.217325324145,0.3252250254154205
228,16.23,1,2019-12-29 21:47:03.00,1050.5628620386121,21:47:03.00,20.766397,-103.364992,16.00241654736175,1634.924249168532,0.09203802794218063
229,16.23,1,2019-12-29 21:47:10.00,1057.562857985497,21:47:10.00,20.766448,-103.365004,16.00241654736175,1634.7376373953948,0.2156818062067032
230,16.23,1,2019-12-29 21:47:14.00,1061.5628560781481,21:47:14.00,20.766503,-103.365027,16.00241654736175,1634.737636566245,0.6166409254074097
231,16.23,1,2019-12-29 21:47:17.00,1064.562854766846,21:47:17.00,20.766545999999998,-103.365033,16.00241654736175,1634.737636566162,0.6893090605735779
232,16.23,1,2019-12-29 21:47:22.00,1064.519482016563,21:47:22.00,20.766606,-103.365044,16.00241654736175,1634.737636566162,0.2818657755851746
233,16.23,0,2019-12-29 21:47:23.00,1065.519481420517,21:47:23.00,20.766622,-103.365048,16.00241654736175,1634.737636566162,0.7982498407363892
234,16.23,0,2019-12-29 21:47:27.00,1069.519478797913,21:47:27.00,20.766679999999997,-103.365057,16.00241654736175,1634.737636566162,0.4744870066642761
235,16.23,0,2019-12-29 21:47:32.00,1074.51947593689,21:47:32.00,20.766735999999998,-103.365062,16.00241654736175,1634.737636566162,0.6732290983200073
236,16.23,0,2019-12-29 21:47:36.00,1078.519474387169,21:47:36.00,20.766780999999998,-103.36506,6.000906205260657,1634.737636566162,0.4568686783313751
